latitude,longitude,address,name,details,borough,type
40.87873305300309,-73.87615093615828,,Williamsbridge Oval,Out in Open,X,
40.87858980194994,-73.87698567251869,,Williamsbridge Oval,"Under Tree, In Playground",X,
40.878045900402,-73.87752709445763,,Williamsbridge Oval,"Just Outside Playground, Under Tree",X,
40.87801849837967,-73.87593103348955,,Williamsbridge Oval,Out in Open,X,
40.87796408570875,-73.88260665960495,,Mosholu Parkway,"Under Tree, In Shade, In Playground",X,
40.87777559860616,-73.8824442256074,,Mosholu Parkway,"Out in Open, In Playground",X,
40.87772860700298,-73.87851014691479,,Williamsbridge Oval,"Just Outside Playground, Under Tree",X,
40.87772035416094,-73.90804597946936,,Marble Hill Playground,Out in Open,X,
40.877719839847494,-73.90784937089909,,Marble Hill Playground,Out in Open,X,
40.87769659428697,-73.87796697498094,,Williamsbridge Oval,"Just Outside Playground, Under Tree",X,
40.87752470260539,-73.9080427371963,,Marble Hill Playground,Out in Open,X,
40.87715945653383,-73.87856011280397,,Williamsbridge Oval,"In Playground, Out in Open",X,
40.8771176307026,-73.89252646911197,,Harris Park,"Near Ballfield, Out in Open",X,
40.876965542686165,-73.89263375608628,,Harris Park,"Near Ballfield, Out in Open",X,
40.87659246321491,-73.8779267990796,,Williamsbridge Oval,In Playground,X,
40.87628173874877,-73.8906254067848,,Harris Park,"Near Ballfield, Out in Open",X,
40.876256830187415,-73.82387524659333,,Co-op City Field,Near Ballfield,X,
40.87621864004125,-73.89080259283395,,Harris Park,"Near Ballfield, Out in Open",X,
40.876008978674,-73.82391423651033,,Co-op City Field,"Under Tree, Near Ballfield",X,
40.87575188281178,-73.89347430651789,,Harris Park,"Out in Open, Near Ballfield",X,
40.87568829644015,-73.82407781323745,,Co-op City Field,Near Ballfield,X,
40.87524161950367,-73.89256816532264,,Harris Park,"In Shade, Just Outside Playground",X,
40.87497779918254,-73.89177622778855,,Harris Park,"Near Ballfield, Out in Open",X,
40.87475635701585,-73.8654013866998,,Gun Hill Playground,"In Playground, In Shade",X,
40.87452978392946,-73.9200415083878,,Inwood Hill Park,Near Ballfield,M,
40.874279839414406,-73.92952529477165,,Inwood Hill Park,Out in Open,M,
40.8742470100228,-73.90079330467755,,Washington's Walk,Out in Open,X,
