,geometry,name,details,borough
312,POINT (-73.81283797164888 40.74662148033163),Kissena Park,Near Ballfield,Q
313,POINT (-73.91828394471898 40.69500513094034),Heckscher Playground,Near Ballfield,B
314,POINT (-73.90659335217818 40.66743308415018),Dr. Green Playground,"Under Tree, In Shade, Out in Open, Just Outside Playground",B
315,POINT (-73.96226718672769 40.69258282643545),Pratt Playground,"In Playground, Under Tree",B
316,POINT (-73.79191509523044 40.8687291974809),Pelham Bay Park,Under Tree,X
317,POINT (-73.92188003326336 40.65865993363679),Kennedy King Playground,"Out in Open, In Playground, In Shade",B
318,POINT (-73.76791162023117 40.599778213914504),Bayswater Park,Near Ballfield,Q
319,POINT (-73.98479840907665 40.78340932136799),Riverside Park,In Playground,M
320,POINT (-73.92538193790725 40.593855511780106),Marine Park,Near Ballfield,B
321,POINT (-73.86805122557668 40.70256506964099),Forest Park,Just Outside Playground,Q
322,POINT (-73.97353281427336 40.681230758584164),Dean Playground,"In Playground, Under Tree",B
323,POINT (-73.83667393325119 40.75036644999488),Flushing Meadows Corona Park,Out in Open,Q
324,POINT (-73.77935109405628 40.770977006862765),Kennedy Playground,In Playground,Q
325,POINT (-73.99325276537682 40.71111848324132),Coleman Playground,"Under Tree, In Shade, Near Ballfield, Just Outside Playground",M
326,POINT (-73.93929021771686 40.816874573784006),Fred Samuel Playground,"Under Tree, In Shade, Near Ballfield, Just Outside Playground",M
327,POINT (-73.9787995932386 40.66157561227531),Prospect Park,Out in Open,B
328,POINT (-73.97063653740511 40.80477809407796),Riverside Park,Near Ballfield,M
329,POINT (-73.98363708335415 40.71430206756223),Sol Lain Plgd,"Under Tree, Near Ballfield, In Playground",M
330,POINT (-73.99040200383057 40.71899775155472),Allen Mall One,Out in Open,M
331,POINT (-74.00327635209798 40.72681874070257),Father Fagan Park,Under Tree,M
332,POINT (-73.99299607150836 40.595401272190536),Bath Playground,Out in Open,B
333,POINT (-73.87185006485875 40.83686403090535),Noble Playground,"In Playground, In Shade, Near Ballfield",X
334,POINT (-73.85469975031256 40.67328075916452),Tudor Park,Under Tree,Q
335,POINT (-73.98196589475974 40.78744082797004),Riverside Park,"Out in Open, Just Outside Playground",M
336,POINT (-73.97645262284233 40.661363796484146),Prospect Park,"Near Ballfield, Out in Open",B
337,POINT (-73.98939109825608 40.71006827391881),East River Waterfront Esplanade,"Near Ballfield, In Shade",M
338,POINT (-73.8625945007143 40.666701390972364),Pink Playground,In Playground,B
339,POINT (-73.91847504463269 40.882438715088384),Henry Hudson Park,"Under Tree, In Shade",X
340,POINT (-73.92780848257186 40.66648064901835),Lincoln Terrace / Arthur S. Somers Park,"Under Tree, In Playground",B
341,POINT (-73.96835932308288 40.61027188941506),Colonel David Marcus Playground,"Under Tree, In Playground, Out in Open",B
342,POINT (-73.89850396485852 40.88683456118932),Van Cortlandt Park,"Out in Open, Just Outside Playground",X
343,POINT (-73.81683258927696 40.58289594243219),Rockaway Beach Boardwalk,Out in Open,Q
344,POINT (-74.2099058534571 40.535052781824554),Bloomingdale Park,Near Ballfield,R
345,POINT (-73.70951864446057 40.74479172657429),Playground Eighty LXXX,Near Ballfield,Q
346,POINT (-73.8874348065363 40.657974942291574),Linden Park,"Under Tree, In Playground",B
347,POINT (-73.97211178052817 40.618544523089255),Friends Field,Just Outside Playground,B
348,POINT (-73.9608893755546 40.70067785100997),Penn Triangle,"Under Tree, In Shade, Just Outside Playground",B
349,POINT (-73.87356298753475 40.81947019797398),Soundview Park,Just Outside Playground,X
350,POINT (-73.80921625429845 40.58808967752658),Hammel Playground,Near Ballfield,Q
351,POINT (-73.90515858242404 40.72714173726125),Frank Principe Park,Near Ballfield,Q
352,POINT (-73.96726162061226 40.78473441504241),Central Park,"Under Tree, Out in Open",M
353,POINT (-73.97478656426448 40.69195664033945),Fort Greene Park,Out in Open,B
354,POINT (-73.83455147576306 40.852269040419785),Colucci Playground,Out in Open,X
355,POINT (-73.95477431579909 40.743338875455436),Andrews Grove,"Under Tree, In Playground",Q
356,POINT (-73.93709618310483 40.793221853349586),Thomas Jefferson Park,"Under Tree, Near Ballfield",M
357,POINT (-73.9512316011198 40.79707362891633),Central Park,"Under Tree, In Shade, Just Outside Playground",M
358,POINT (-73.97459236798586 40.78223535552133),Theodore Roosevelt Park,"In Shade, Under Tree",M
359,POINT (-73.82222970159874 40.84888173188497),Pelham Bay Park,Near Ballfield,X
360,POINT (-73.84229791403713 40.74354977969773),Flushing Meadows Corona Park,Under Tree,Q
361,POINT (-73.86151414081283 40.8470366713112),Matthews Muliner Playground,In Playground,X
362,POINT (-73.89513299350045 40.840059680520724),Crotona Park,Out in Open,X
363,POINT (-74.18755139568768 40.518972128285036),Wolfe's Pond Park,Out in Open,R
364,POINT (-73.94727004007916 40.787169020114945),Cherry Tree Park,"Near Ballfield, In Playground",M
365,POINT (-73.82387524659333 40.876256830187415),Co-op City Field,Near Ballfield,X
366,POINT (-73.90012909274401 40.758712711346284),St. Michael's Playground,Near Ballfield,Q
367,POINT (-73.92841162729212 40.665642015037726),Lincoln Terrace / Arthur S. Somers Park,Out in Open,B
368,POINT (-73.8980871234534 40.88852457036656),Van Cortlandt Park,Out in Open,X
369,POINT (-73.96578294148955 40.686583573613724),Greene Playground,In Playground,B
370,POINT (-73.90079330467755 40.8742470100228),Washington's Walk,Out in Open,X
371,POINT (-73.71622191904082 40.74962500931249),Glen Oaks Oval,In Playground,Q
372,POINT (-73.92091195466757 40.779556567904926),Astoria Park,Out in Open,Q
373,POINT (-73.92259619317389 40.81589304066975),Patterson Playground,"Out in Open, Just Outside Playground",X
374,POINT (-73.88923359212791 40.8162316095212),Julio Carballo Fields,Near Ballfield,X
375,POINT (-74.21001574761195 40.533970266206694),Bloomingdale Park,Near Ballfield,R
376,POINT (-73.97271242318304 40.574033108446606),Coney Island Beach & Boardwalk,Out in Open,B
377,POINT (-73.83810694088092 40.77723144467796),College Point Fields,"Out in Open, Near Ballfield",Q
378,POINT (-73.84350373687585 40.65710812383054),Walter Ward Playground,In Playground,Q
379,POINT (-73.90946353721453 40.85015932655147),Mount Hope Playground,"Under Tree, In Playground",X
380,POINT (-73.97644941628674 40.69771118691468),Oxport Playground,"Under Tree, In Shade, Out in Open, In Playground",B
381,POINT (-73.74916994933886 40.61106362448738),Redfern Playground,Out in Open,Q
382,POINT (-73.77524655325786 40.72600858738745),Cunningham Park,Just Outside Playground,Q
383,POINT (-73.80325400432397 40.7487613298217),Kissena Park,"Under Tree, In Playground",Q
384,POINT (-73.89268168706737 40.63097552986464),Canarsie Park,"Out in Open, In Playground",B
385,POINT (-73.92829536814698 40.68007478602736),Jackie Robinson Park,"Under Tree, In Playground",B
386,POINT (-73.94329684034984 40.674318349792486),Brower Park,"Under Tree, In Playground",B
387,POINT (-73.74755981150741 40.59479343105285),Beach 17 Playground,Out in Open,Q
388,POINT (-73.91671924846644 40.61437475634674),Monsignor Crawford Field,"Out in Open, Near Ballfield",B
389,POINT (-73.92859660976694 40.82872178154586),Macombs Dam Park,Out in Open,X
390,POINT (-73.97128349125805 40.76720587672378),Central Park,"Under Tree, Out in Open",M
391,POINT (-73.79355815682896 40.86183272766086),Pelham Bay Park,Under Tree,X
392,POINT (-73.90979300439481 40.84289266802042),Mount Eden Malls,Out in Open,X
393,POINT (-73.89622748457938 40.887464204688726),Van Cortlandt Park,Near Ballfield,X
394,POINT (-74.06244221326189 40.593091448912816),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
395,POINT (-73.99993807900395 40.59782139867739),Bensonhurst Park,In Shade,B
396,POINT (-73.82373136514626 40.7831416534909),Harvey Park,Near Ballfield,Q
397,POINT (-73.97978634021463 40.71158359420065),Corlears Hook Park,"Under Tree, Near Ballfield, Just Outside Playground",M
398,POINT (-73.97693283286225 40.76934533443018),Central Park,"Under Tree, Near Ballfield, In Shade",M
399,POINT (-73.75034177399733 40.594387916812536),Beach 17 Playground,Under Tree,Q
400,POINT (-73.89069822648594 40.70827803841529),Mafera Park,Near Ballfield,Q
401,POINT (-73.90955937561566 40.845261423927695),Morris Mesa,"Under Tree, In Playground",X
402,POINT (-73.72868074937386 40.684581737220924),Delphin H. Greene Playground,In Shade,Q
403,POINT (-73.97428857282051 40.717194049937135),John V. Lindsay East River Park,Near Ballfield,M
404,POINT (-73.94680857504673 40.638371755823776),Nostrand Playground,Out in Open,B
405,POINT (-73.87948523355769 40.65888206048171),Jerome Playground,Just Outside Playground,B
406,POINT (-73.91734330164635 40.641187108796494),Curtis Playground,"Out in Open, In Playground",B
407,POINT (-73.95486668626133 40.7433782458332),Andrews Grove,"Under Tree, In Playground",Q
408,POINT (-73.78655753757077 40.696326264853816),Latimer Playground,Under Tree,Q
409,POINT (-74.08949809922173 40.56931621845287),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
410,POINT (-73.88612456104926 40.6654699871137),Schenck Playground,In Playground,B
411,POINT (-73.92338266577492 40.83339070921401),Mullaly Park,Near Ballfield,X
412,POINT (-74.00836527965573 40.652394956637636),Gonzalo Plasencia Playground,In Playground,B
413,POINT (-73.86080038126518 40.76408101455893),Grand Central Parkway Extension,Out in Open,Q
414,POINT (-73.8086164479226 40.68394295625399),Frederick B. Judge Playground,Near Ballfield,Q
415,POINT (-73.95235356163084 40.82943106855519),Recreational Area,Near Ballfield,M
416,POINT (-73.92978776130407 40.79120250548445),Wards Island Park,Out in Open,M
417,POINT (-73.944345649946 40.65898733356502),Wingate Park,Out in Open,B
418,POINT (-73.76382229409468 40.59270746802027),Beach 30th Street Playground,Near Ballfield,Q
419,POINT (-73.94024373841951 40.588731903097994),Sheepshead Playground,In Playground,B
420,POINT (-73.94593251700869 40.59217759141378),Bill Brown Playground,Near Ballfield,B
421,POINT (-73.78398584133087 40.76017926178296),Francis Lewis Playground,In Playground,Q
422,POINT (-73.8773058993385 40.89656233745274),Van Cortlandt Park,Near Ballfield,X
423,POINT (-74.13679130134888 40.55185886373156),Greencroft Playground,Near Ballfield,R
424,POINT (-73.8834910330884 40.685184828980034),Highland Park,Near Ballfield,B
425,POINT (-73.89020605334818 40.762017001493746),LaGuardia Landing Lights,Near Ballfield,Q
426,POINT (-73.90558524346994 40.728444987968125),Frank Principe Park,Under Tree,Q
427,POINT (-73.95737530734596 40.59720514393153),Mellett Playground,In Playground,B
428,POINT (-73.74000210971529 40.69859719010109),East Springfield Playground,Out in Open,Q
429,POINT (-73.96796367522657 40.66160402944701),Prospect Park,,B
430,POINT (-73.83956517562031 40.87276699816857),Haffen Park,"Near Ballfield, In Shade",X
431,POINT (-74.00174438107659 40.7506021102256),Chelsea Park,Near Ballfield,M
432,POINT (-74.00644921237249 40.72955519057997),James J Walker Park,"Near Ballfield, In Shade",M
433,POINT (-73.90498019397498 40.90213245035881),Vinmont Veteran Park,,X
434,POINT (-73.9050217309777 40.67097571069354),Powell Playground,Out in Open,B
435,POINT (-73.94486762369789 40.77437195733978),Carl Schurz Park,Under Tree,M
436,POINT (-73.94296996968937 40.576766910276824),Manhattan Beach Park,Out in Open,B
437,POINT (-73.95544163235903 40.79301288606251),Central Park,"Out in Open, Near Ballfield",M
438,POINT (-73.9729275684851 40.680530515642346),Dean Playground,Out in Open,B
439,POINT (-73.95852884046842 40.57528917755433),Coney Island Beach & Boardwalk,Out in Open,B
440,POINT (-73.991805727361 40.57151850913321),Coney Island Beach & Boardwalk,Out in Open,B
441,POINT (-74.00270459989973 40.71482944342038),Thomas Paine Park,Under Tree,M
442,POINT (-73.83788860467307 40.7326717339893),Flushing Meadows Corona Park,Under Tree,Q
443,POINT (-73.96267914214 40.692489139016075),Pratt Playground,"Under Tree, In Playground, Out in Open",B
444,POINT (-73.81988311720148 40.8510772556585),Pelham Bay Park,Near Ballfield,X
445,POINT (-73.79049170894469 40.86964487171624),Pelham Bay Park,Out in Open,X
446,POINT (-73.89145089866159 40.7062962186976),Mafera Park,Near Ballfield,Q
447,POINT (-73.93651323069257 40.605025646524886),Marine Park,Near Ballfield,B
448,POINT (-73.75373863572514 40.65515174574133),Idlewild Park,"Out in Open, Near Ballfield",Q
449,POINT (-73.81716384870273 40.77616525281753),Flushing Fields,"In Playground, Under Tree, Out in Open",Q
450,POINT (-73.89884513668771 40.81807777482017),Rainey Park,Near Ballfield,X
451,POINT (-73.98291599876396 40.5727041055281),Coney Island Beach & Boardwalk,Out in Open,B
452,POINT (-73.90476930223892 40.74536028358231),Woodside Memorial Plaza,"Under Tree, Out in Open",Q
453,POINT (-74.08596823437438 40.6423463761781),Davis Playground,In Playground,R
454,POINT (-73.88957891621057 40.75430233148645),Travers Park,Out in Open,Q
455,POINT (-74.00236482961249 40.602510174929016),Benson Playground,Just Outside Playground,B
456,POINT (-74.01583001668354 40.70829847274274),Battery Park City Parks,"Under Tree, Near Ballfield, In Playground",M
457,POINT (-73.94044467775475 40.84702092385855),J. Hood Wright Park,Near Ballfield,M
458,POINT (-73.98114450675004 40.7157715469968),Luther Gulick Park,"Under Tree, Near Ballfield, In Playground",M
459,POINT (-73.95413351369928 40.792974466372705),Central Park,"Under Tree, Out in Open",M
460,POINT (-73.81381151659627 40.82377681488919),Bicentennial Veterans Memorial Park,Out in Open,X
461,POINT (-73.84702869329777 40.74764967914436),Flushing Meadows Corona Park,Under Tree,Q
462,POINT (-73.80641666947655 40.58588326936485),Rockaway Beach Boardwalk,Out in Open,Q
463,POINT (-73.78490860543306 40.70406836590769),Detective Keith L Williams Park,Out in Open,Q
464,POINT (-73.91533645228073 40.82498261290126),Railroad Park,"Under Tree, In Shade",X
465,POINT (-73.90012295729882 40.835816802733426),Crotona Park,"Out in Open, In Playground",X
466,POINT (-74.09346100714173 40.62613802903975),Silver Lake Park,Out in Open,R
467,POINT (-73.94330046125377 40.77645076664795),Carl Schurz Park,Out in Open,M
468,POINT (-73.94273578685265 40.80335229349777),Marcus Garvey Park,"Under Tree, Just Outside Playground, Near Ballfield",M
469,POINT (-73.96314527474088 40.65848938286662),Prospect Park,In Playground,B
470,POINT (-73.92556675826204 40.68792988587178),P.O. Reinaldo Salgado Playground,In Playground,B
471,POINT (-73.91724687202391 40.886502734426706),Seton Park,Out in Open,X
472,POINT (-73.91166654523961 40.71068340344151),Grover Cleveland Playground,Near Ballfield,Q
473,POINT (-73.99050424504074 40.736044658254805),Union Square Park,"Under Tree, Just Outside Playground",M
474,POINT (-73.99751797569215 40.73015890846361),Washington Square Park,Under Tree,M
475,POINT (-73.72911227485932 40.7259714298084),Breininger Park,Near Ballfield,Q
476,POINT (-73.9242414998328 40.70301673353511),Maria Hernandez Park,In Playground,B
477,POINT (-73.85201564444567 40.82352387672551),P.O. Serrano Playground,Near Ballfield,X
478,POINT (-73.78664900636191 40.68427886137332),Baisley Pond Park,Near Ballfield,Q
479,POINT (-73.98936667170479 40.697887782976984),Walt Whitman Park,Out in Open,B
480,POINT (-73.9512870342034 40.81334238790087),St. Nicholas Park,"Just Outside Playground, Near Ballfield",M
481,POINT (-73.7670057732436 40.773011689115634),Crocheron Park,In Shade,Q
482,POINT (-73.99617593696658 40.69968810405638),Brooklyn Heights Promenade,,B
483,POINT (-73.96624849286184 40.65155283102098),Parade Ground,"Out in Open, Near Ballfield",B
484,POINT (-74.08451899374849 40.57328668050821),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
485,POINT (-73.93165190496376 40.85968363035928),Fort Tryon Park,Under Tree,M
486,POINT (-73.97421419172765 40.72151120803641),John V. Lindsay East River Park,"Under Tree, Near Ballfield",M
487,POINT (-73.95413571107098 40.721474100900615),McCarren Park,Out in Open,B
488,POINT (-73.89352657037647 40.83795424047758),Crotona Park,Out in Open,X
489,POINT (-73.91740483754337 40.7935941544511),Randall's Island Park,"Out in Open, Near Ballfield",M
490,POINT (-73.82437861307285 40.66558174636374),Belt Parkway,"Out in Open, Near Ballfield",Q
491,POINT (-73.91055443644689 40.809847097264004),St. Mary's Park,Out in Open,X
